,l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326,dist
769,26635,1686,19947,138000,3,1,,,,,712.3470618873421,,,,,,"SRID=4326;LINESTRING(-75.7715101131792 39.612801833353,-75.7630027760567 39.614314591832)",0.7496114335905976
897,4430,19948,29539,230000,6;3;3,1,,,,,1484.58809301319,,,,,,"SRID=4326;LINESTRING(-75.7431933070743 39.6217754189643,-75.7295819045966 39.6335791735502)",1.7559006228424836
1320,11618,19949,21823,,6,1,,,,,624.725776651715,,,,,,"SRID=4326;LINESTRING(-75.7244925388156 39.6362726630197,-75.7188195879649 39.6398190216661)",0.6262483462196384
1503,26646,1687,19953,230000,3,1,,,,,4965.6314559640205,,,,,,"SRID=4326;LINESTRING(-75.6936077382251 39.6931158908979,-75.74132049937 39.6723052142217)",4.70030103819057
3584,26654,19956,19957,230000,3,1,,,,,120.211628747053,,,,,,"SRID=4326;LINESTRING(-75.7410547777089 39.6712697740715,-75.7407754016556 39.6701946976528)",0.12174712875460025
4155,26640,19947,19950,230000,3,1,,,,,333.904239345671,,,,,,"SRID=4326;LINESTRING(-75.7630027760567 39.614314591832,-75.7653030021732 39.6130380093974)",0.24311743507503905
6175,473,5059,29839,,3;6,1,,,,,910.327499184623,,,,,,"SRID=4326;LINESTRING(-75.6625094404185 39.6892913637067,-75.6545424077044 39.6965712155653)",1.0584440826864563
6258,26639,19948,19950,230000,3,1,,,,,2826.5522199028496,,,,,,"SRID=4326;LINESTRING(-75.7431933070743 39.6217754189643,-75.7653030021732 39.6130380093974)",2.1320133390200584
6760,4427,2847,29539,500000,3,,,Salem to Deans 500 kV transmission line,,5015,12275.649184304299,,,,,,"SRID=4326;LINESTRING(-75.6260939948526 39.6081212060554,-75.7295819045966 39.6335791735502)",9.324630354595294
8561,4432,19949,29539,230000,3,1,,,,,547.703767729091,,,,,,"SRID=4326;LINESTRING(-75.7244925388156 39.6362726630197,-75.7295819045966 39.6335791735502)",0.5294515327885015
9187,26652,19957,19956,138000,3,1,,,,,319.758252915999,,,,,,"SRID=4326;LINESTRING(-75.7407754016556 39.6701946976528,-75.7410547777089 39.6712697740715)",0.12174712875460025
9606,4431,1686,29539,500000,3,2,,,,,4614.6394834612,,,,,,"SRID=4326;LINESTRING(-75.7715101131792 39.612801833353,-75.7295819045966 39.6335791735502)",4.275707498422096
14882,26637,19946,19948,230000,3,1,,,,,262.457618574792,,,,,,"SRID=4326;LINESTRING(-75.7449280437195 39.6206150847356,-75.7431933070743 39.6217754189643)",0.19693481140132543
15681,11616,5059,21823,,6,1,,,,,8661.82125872554,,,,,,"SRID=4326;LINESTRING(-75.6625094404185 39.6892913637067,-75.7188195879649 39.6398190216661)",7.315683077338982
15810,11617,5059,21823,,,,,,,,8669.09040741927,,,,,,"SRID=4326;LINESTRING(-75.6625094404185 39.6892913637067,-75.7188195879649 39.6398190216661)",7.315683077338982
15921,4429,2847,29539,230000,3,2,,,,,12285.3412737564,,,,,,"SRID=4326;LINESTRING(-75.6260939948526 39.6081212060554,-75.7295819045966 39.6335791735502)",9.324630354595294
17296,4433,19949,29539,138000,3,1,,,,,223.716308700024,,,,,,"SRID=4326;LINESTRING(-75.7244925388156 39.6362726630197,-75.7295819045966 39.6335791735502)",0.5294515327885015
17853,4428,19946,29539,138000,3,1,,,,,1787.12150093512,,,,,,"SRID=4326;LINESTRING(-75.7449280437195 39.6206150847356,-75.7295819045966 39.6335791735502)",1.9513502551805828
18337,474,9481,29839,,3,1,,,,,4312.549573010429,,,,,,"SRID=4326;LINESTRING(-75.6032753788416 39.6965629060916,-75.6545424077044 39.6965712155653)",4.397205406810915
19622,42263,2847,2850,500000,3,,,Salem to Deans 500 kV transmission line,,5015,27554.033758727997,,,,,,"SRID=4326;LINESTRING(-75.6260939948526 39.6081212060554,-75.5338586578015 39.4675092780738)",17.509772180922017
20317,26638,1686,19950,230000,6,1,,,,,362.36348856928004,,,,,,"SRID=4326;LINESTRING(-75.7715101131792 39.612801833353,-75.7653030021732 39.6130380093974)",0.5336744827753058
20808,26653,19953,19956,230000;138000,6,1,,,,,115.666709458845,,,,,,"SRID=4326;LINESTRING(-75.74132049937 39.6723052142217,-75.7410547777089 39.6712697740715)",0.11720214180433393
21680,26636,19946,19947,230000;138000,6,1,,,,,2242.6889201617396,,,,,,"SRID=4326;LINESTRING(-75.7449280437195 39.6206150847356,-75.7630027760567 39.614314591832)",1.702408493336615
22158,4434,19957,29539,230000;138000,3;6,1,,,,,3981.92556873854,,,,,,"SRID=4326;LINESTRING(-75.7407754016556 39.6701946976528,-75.7295819045966 39.6335791735502)",4.177316365110036
22403,472,5059,29839,,,,,,,,951.161764411651,,,,,,"SRID=4326;LINESTRING(-75.6625094404185 39.6892913637067,-75.6545424077044 39.6965712155653)",1.0584440826864563
