,l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326,dist
30,914,1518,30030,,,,,,,,1066.3884022096302,,,,,,"SRID=4326;LINESTRING(-76.6064860666595 38.9398878468496,-76.6081084253098 38.9499382499194)",1.124569737702984
156,3581,19799,31138,69000,3,,,,,,155.446405773495,,,,,,"SRID=4326;LINESTRING(-77.2762542183654 39.1358287980328,-77.2777751332872 39.136105464247)",0.1350383597968567
224,26350,1402,19806,230000,3,1,,,,,6030.75081907725,,,,,,"SRID=4326;LINESTRING(-77.17216824447 39.3980268537951,-77.2280720899549 39.4135542685255)",5.114268222629539
444,26460,1511,19863,69000,3,1,,,,,88.1755949493172,,,,,,"SRID=4326;LINESTRING(-76.4849936848419 38.2811662275893,-76.483673068638 38.2831310717438)",0.24681838196931863
562,26319,638,19788,230000,6,1,,,,,597.87795754827,,,,,,"SRID=4326;LINESTRING(-76.8274250465693 39.1941146324645,-76.8312975477319 39.18847228633)",0.710151371244833
620,41015,1527,1528,69000,3,1,,,,,2755.3645215345196,,,,,,"SRID=4326;LINESTRING(-76.443262969614 38.3705292378109,-76.4559392091958 38.3485527807661)",2.6792655375352044
679,40958,1151,1475,115000,3,1,,,,,2013.5573203899698,,,,,,"SRID=4326;LINESTRING(-76.8405546791642 39.4636218755622,-76.8294958054355 39.4787321748019)",1.9287137919382944
682,40608,1185,1155,230000,6;3;3,1,,,,,15896.3397295691,,,,,,"SRID=4326;LINESTRING(-76.5869347795511 39.1464030516893,-76.6769032186004 39.0459502454882)",13.599390263580036
828,40616,1382,1157,230000,3;6;3;3,1,,,,,79.7573325682097,,,,,,"SRID=4326;LINESTRING(-76.9031120205898 39.09404989537,-76.9057152055506 39.0901042734476)",0.4925368171429855
959,29572,1140,5962,230000,3,1,,,,,3231.05315651356,,,,,,"SRID=4326;LINESTRING(-76.7818246058403 39.2314212352965,-76.8096265157697 39.2090174432167)",3.456989128778524
1153,40909,1137,1427,230000,6,1,,,,,10442.6010026233,,,,,,"SRID=4326;LINESTRING(-77.5148042159242 39.2964012428168,-77.4414473233534 39.225363778169)",10.113518842915644
1173,915,1155,30030,500000,3,3,,Washington Loop,,,12006.1628540056,,,,,,"SRID=4326;LINESTRING(-76.6769032186004 39.0459502454882,-76.6081084253098 38.9499382499194)",12.211770496787565
1252,40855,1376,1377,115000;230000;230000,6;3,1,,,,,480.803310546954,,,,,,"SRID=4326;LINESTRING(-76.5365554970255 38.9929569757947,-76.5324458864617 38.9895238960311)",0.5215588560108978
1337,40603,19683,1152,500000,6;3;3,3,,Washington Loop,,,28939.9518813923,,,,,,"SRID=4326;LINESTRING(-77.2383321081409 39.3554806634234,-77.0365375544636 39.1856706956422)",25.664348599860833
1400,40576,1109,1110,230000,6;3;3;3;3,1,,,,,6684.67981871977,,,,,,"SRID=4326;LINESTRING(-77.1035338692769 39.190280752375,-77.0790585386285 39.1318947286493)",6.818382061634632
1526,29573,638,5962,230000,3,1,,,,,2086.02571261559,,,,,,"SRID=4326;LINESTRING(-76.8274250465693 39.1941146324645,-76.8096265157697 39.2090174432167)",2.258558799407902
1925,40610,1139,1155,500000,3,3,,Washington Loop,,,26308.4069757421,,,,,,"SRID=4326;LINESTRING(-76.8726306412414 39.1410371989338,-76.6769032186004 39.0459502454882)",19.953837871941047
1945,40640,1363,1183,115000,12;6;6;6;6,1,,,,,3050.25523412804,,,,,,"SRID=4326;LINESTRING(-76.500371367596 39.2699749781451,-76.5068612475917 39.2991929988695)",3.2917838726679967
2036,40637,92,1178,230000,3,,,,,,3123.3153118409496,,,,,,"SRID=4326;LINESTRING(-76.5130495504805 39.229812629163,-76.5426840955556 39.2095634066537)",3.4063423655782485
2348,26368,19814,19816,230000,3,1,,,,,102.558015841165,,,,,,"SRID=4326;LINESTRING(-77.5815491829563 39.4890876683348,-77.5820233137632 39.4899503000525)",0.10409712706879345
2421,40894,1215,1391,230000,6,1,,,,,1426.3091209994598,,,,,,"SRID=4326;LINESTRING(-77.4028400196188 39.4195890205155,-77.4027957568525 39.4098748249376)",1.0785098285106844
2483,913,30029,30030,500000,3,3,,Washington Loop,,,1054.6635734633999,,,,,,"SRID=4326;LINESTRING(-76.6048512613032 38.9401926124144,-76.6081084253098 38.9499382499194)",1.1181488451386052
2644,40935,1449,1450,69000,3,1,,,,,6383.76388164221,,,,,,"SRID=4326;LINESTRING(-76.9117516472304 38.5426004243203,-76.8800500614321 38.5961539957892)",6.555450535800164
2659,4377,1178,29525,230000,3;6;3;6;3;3,1,,,,,2770.7451348162394,,,,,,"SRID=4326;LINESTRING(-76.5426840955556 39.2095634066537,-76.5332413100216 39.1811667881043)",3.2563984929804395
2839,2700,1512,30782,230000,6,1,,,,,7228.440543690259,,,,,,"SRID=4326;LINESTRING(-76.7852728390645 38.7905620688467,-76.7992073188345 38.8543112834252)",7.1796481068448355
2881,29571,638,5962,230000,6,1,,,,,2063.69039356347,,,,,,"SRID=4326;LINESTRING(-76.8274250465693 39.1941146324645,-76.8096265157697 39.2090174432167)",2.258558799407902
